,price,type,room_num,floor,area_m2,floors_num,year_built,last_refurbishment,address
771,"CHF890,000.–",Apartment,4.5,2,120 m2,4.0,,,"Via A e O torrricelli 45, 6900 Lugano"
772,"CHF890,000.–",Apartment,4.5,2,128 m2,,1994.0,2014.0,6900 Lugano
773,"CHF910,000.–",Apartment,2.5,6,,6.0,2018.0,,"via Orti 4, 6900 Lugano"
774,"CHF920,000.–",Apartment,3.5,GF,115 m2,,1990.0,,6900 Lugano
775,"CHF920,000.–",Apartment,3.5,3,98 m2,,1970.0,,"viale Carlo Cattaneo, 6900 Lugano"
776,"CHF980,000.–",Apartment,4.5,1,139 m2,,2018.0,,6900 Lugano
777,"CHF980,000.–",Apartment,4.5,,153 m2,4.0,2019.0,,6900 Lugano
778,"CHF1,040,000.–",Apartment,3.5,2,125 m2,,,1980.0,"Via Domenico Fontana 6, 6900 Lugano"
779,"CHF1,050,000.–",Apartment,,,135 m2,,,,6900 Lugano
780,"CHF1,200,000.–",Apartment,4.5,3,130 m2,,1980.0,,"Strada Regina, 6900 Lugano"
781,"CHF1,200,000.–",Apartment,3.5,GF,92 m2,,2015.0,,"Via pedemonte, 6900 Lugano"
782,"CHF1,218,000.–",Apartment,3.5,4,101 m2,,,,6900 Lugano
783,"CHF1,290,000.–",Apartment,4.5,2,164 m2,7.0,2014.0,,"Breganzona, 6900 Lugano"
784,"CHF1,435,000.–",Apartment,4.5,2,126 m2,,2007.0,,6900 Lugano
785,"CHF1,530,000.–",Apartment,4.5,1,135 m2,,1990.0,,6900 Lugano
786,"CHF1,560,000.–",Apartment,6.5,,208 m2,,1970.0,,6900 Lugano
787,"CHF1,590,000.–",Apartment,3.5,1,100 m2,,2000.0,,6900 Lugano
788,"CHF1,700,000.–",Duplex,6.5,2,244 m2,3.0,1992.0,,6900 Lugano
789,"CHF1,710,000.–",Apartment,3.5,2,150 m2,,2001.0,,6900 Lugano
790,"CHF1,800,000.–",Apartment,4.5,8,176 m2,9.0,1975.0,,6900 Lugano
791,"CHF2,150,000.–",Attic flat,5.5,3,163 m2,,,,6900 Lugano
792,"CHF2,300,000.–",Duplex,4.5,,160 m2,,2005.0,,6900 Lugano
793,"CHF2,318,250.–",Apartment,4.5,6,210 m2,,,,6900 Lugano
794,"CHF2,380,000.–",Attic flat,5.5,5,190 m2,,,,6900 Lugano
795,"CHF3,224,000.–",Apartment,4.5,4,248 m2,5.0,,,6900 Lugano
796,"CHF3,300,000.–",Apartment,5.5,,161 m2,,2012.0,,6900 Lugano
797,"CHF2,300,000.–",Duplex,4.5,,160 m2,,2005.0,,6900 Lugano
798,"CHF2,318,250.–",Apartment,4.5,6,210 m2,,,,6900 Lugano
799,"CHF2,380,000.–",Attic flat,5.5,5,190 m2,,,,6900 Lugano
800,"CHF3,224,000.–",Apartment,4.5,4,248 m2,5.0,,,6900 Lugano
801,"CHF3,300,000.–",Apartment,5.5,,161 m2,,2012.0,,6900 Lugano
802,"CHF3,600,000.–",Apartment,6.0,5,400 m2,1.0,2022.0,,6900 Lugano
803,"CHF3,840,000.–",Attic flat,4.5,5,241 m2,5.0,,,6900 Lugano
804,"CHF4,500,000.–",Attic flat,5.5,,318 m2,,,,6900 Lugano
805,"CHF7,494,000.–",Apartment,8.0,5,359 m2,2.0,,,6900 Lugano
806,"CHF8,900,000.–",Apartment,3.5,1,216 m2,,,,"Piazza Berbardino Luini, 6900 Lugano"
807,"CHF1,500,000.–",Apartment,3.5,GF,136 m2,7.0,2015.0,,"Lugano Centro - Posizione approssimativa, 6901 Lugano"
808,"CHF415,000.–",Apartment,3.5,7,80 m2,,1978.0,,"via dei Faggi, 6912 Lugano"
809,"CHF770,000.–",Apartment,4.5,5,150 m2,1.0,2001.0,,6913 Lugano
810,"CHF1,150,000.–",Apartment,3.5,1,115 m2,3.0,2020.0,,"Breganzona, 6932 Lugano"
811,"CHF1,270,000.–",Apartment,4.5,1,125 m2,3.0,2020.0,,"Breganzona, 6932 Lugano"
812,"CHF510,000.–",Apartment,2.5,2,50 m2,,2015.0,,"Via alla Roggia, 6962 Lugano"
813,"CHF900,000.–",Apartment,3.5,4,100 m2,,2009.0,,6962 Lugano
814,"CHF950,000.–",Apartment,3.0,GF,157 m2,,2008.0,,6962 Lugano
815,"CHF1,495,000.–",Apartment,5.0,5,198 m2,6.0,2002.0,,6962 Lugano
816,"CHF1,550,000.–",Apartment,4.5,,130 m2,,2012.0,,6962 Lugano
817,"CHF590,000.–",Apartment,2.5,4,60 m2,,2016.0,,"Via Boschina 4, 6963 Lugano"
818,"CHF590,000.–",Apartment,2.5,4,60 m2,,2016.0,,"Via Boschina 4, 6963 Lugano"
819,"CHF2,050,000.–",Attic flat,4.5,,174 m2,,2010.0,,6963 Lugano
820,"CHF995,000.–",Apartment,3.5,1,215 m2,,2022.0,,6964 Lugano
821,"CHF1,245,000.–",Apartment,4.5,3,263 m2,,2022.0,,6964 Lugano
822,"CHF685,000.–",Apartment,2.5,GF,70 m2,,2006.0,,"Via Fesciano 8, 6965 Lugano"
823,"CHF1,230,000.–",Apartment,5.5,,125 m2,,2021.0,,6965 Lugano
824,"CHF1,280,000.–",Duplex,5.5,,116 m2,,2021.0,,6965 Lugano
825,"CHF1,300,000.–",Apartment,5.0,3,105 m2,,1966.0,,1095 Lutry
826,"CHF750,000.–",Apartment,3.5,,70 m2,,,,6928 Manno
827,"CHF640,000.–",Apartment,3.5,1,,,,,6817 Maroggia
828,"CHF366,000.–",Apartment,2.5,,61 m2,1.0,2022.0,,1920 Martigny
829,"CHF370,000.–",Apartment,2.5,3,62 m2,1.0,2022.0,,1920 Martigny
830,"CHF320,000.–",Apartment,1.5,2,44 m2,,1971.0,1995.0,6900 Massagno
831,"CHF410,000.–",Apartment,2.5,2,45 m2,,,,6900 Massagno
832,"CHF790,000.–",Apartment,2.5,,68 m2,5.0,2015.0,,"Massagno (Posizione Approssimata), 6900 Massagno"
833,"CHF885,000.–",Apartment,3.5,,120 m2,,1974.0,,6900 Massagno
834,"CHF1,450,000.–",Attic flat,4.5,2,200 m2,3.0,2015.0,,6900 Massagno
835,"CHF3,000,000.–",Apartment,5.5,2,200 m2,,2008.0,2016.0,"Via Sassa 8, 6900 Massagno"
836,"CHF265,000.–",Apartment,2.5,,45 m2,,1980.0,,1869 Massongex
837,"CHF430,000.–",Apartment,4.5,1,,3.0,1994.0,,"In der Breiten 7, 2554 Meinisberg"
838,"CHF510,000.–",Apartment,2.5,1,64 m2,,2022.0,,"Via Scairone, 6818 Melano"
839,"CHF410,000.–",Apartment,2.5,2,45 m2,,,,6900 Massagno
840,"CHF790,000.–",Apartment,2.5,,68 m2,5.0,2015.0,,"Massagno (Posizione Approssimata), 6900 Massagno"
841,"CHF885,000.–",Apartment,3.5,,120 m2,,1974.0,,6900 Massagno
842,"CHF1,450,000.–",Attic flat,4.5,2,200 m2,3.0,2015.0,,6900 Massagno
